entity,code,year,decadal_famine_deaths
China,CHN,1870,9500000
China,CHN,1880,0
China,CHN,1890,600000
China,CHN,1900,400000
China,CHN,1910,0
China,CHN,1920,7166666
China,CHN,1930,10000000
China,CHN,1940,3333333
China,CHN,1950,5740000
China,CHN,1960,28828000
China,CHN,1970,230000
China,CHN,1980,0
China,CHN,1990,0
China,CHN,2000,0
China,CHN,2010,0
China,CHN,2020,0
India,IND,1870,6100000
India,IND,1880,150000
India,IND,1890,5833333
India,IND,1900,666666
India,IND,1910,0
India,IND,1920,0
India,IND,1930,0
India,IND,1940,3000000
India,IND,1950,0
India,IND,1960,0
India,IND,1970,0
India,IND,1980,0
India,IND,1990,0
India,IND,2000,0
India,IND,2010,0
India,IND,2020,0
Other countries,,1870,1000000
Other countries,,1880,1200000
Other countries,,1890,2514464
Other countries,,1900,2015535
Other countries,,1910,5099866
Other countries,,1920,66666
Other countries,,1930,1550000
Other countries,,1940,7000000
Other countries,,1950,100000
Other countries,,1960,883500
Other countries,,1970,3530500
Other countries,,1980,1385454
Other countries,,1990,1057545
Other countries,,2000,532000
Other countries,,2010,1118333
Other countries,,2020,1052666
USSR/Russia,,1870,0
USSR/Russia,,1880,0
USSR/Russia,,1890,1300000
USSR/Russia,,1900,0
USSR/Russia,,1910,2666666
USSR/Russia,,1920,6533333
USSR/Russia,,1930,4580000
USSR/Russia,,1940,11620000
USSR/Russia,,1950,0
USSR/Russia,,1960,0
USSR/Russia,,1970,0
USSR/Russia,,1980,0
USSR/Russia,,1990,0
USSR/Russia,,2000,0
USSR/Russia,,2010,0
USSR/Russia,,2020,0
