entity,code,year,decadal_famine_deaths
Africa,OWID_AFR,1870,0
Africa,OWID_AFR,1880,1200000
Africa,OWID_AFR,1890,2065714
Africa,OWID_AFR,1900,1434285
Africa,OWID_AFR,1910,1183333
Africa,OWID_AFR,1920,0
Africa,OWID_AFR,1930,0
Africa,OWID_AFR,1940,0
Africa,OWID_AFR,1950,100000
Africa,OWID_AFR,1960,883500
Africa,OWID_AFR,1970,717500
Africa,OWID_AFR,1980,1385454
Africa,OWID_AFR,1990,727545
Africa,OWID_AFR,2000,532000
Africa,OWID_AFR,2010,791000
Africa,OWID_AFR,2020,889000
Asia,OWID_ASI,1870,16100000
Asia,OWID_ASI,1880,150000
Asia,OWID_ASI,1890,6727083
Asia,OWID_ASI,1900,1647916
Asia,OWID_ASI,1910,1688533
Asia,OWID_ASI,1920,12433333
Asia,OWID_ASI,1930,13000000
Asia,OWID_ASI,1940,18533333
Asia,OWID_ASI,1950,5740000
Asia,OWID_ASI,1960,28828000
Asia,OWID_ASI,1970,3043000
Asia,OWID_ASI,1980,0
Asia,OWID_ASI,1990,330000
Asia,OWID_ASI,2000,0
Asia,OWID_ASI,2010,327333
Asia,OWID_ASI,2020,163666
Europe,OWID_EUR,1870,0
Europe,OWID_EUR,1880,0
Europe,OWID_EUR,1890,1300000
Europe,OWID_EUR,1900,0
Europe,OWID_EUR,1910,4894666
Europe,OWID_EUR,1920,1333333
Europe,OWID_EUR,1930,3130000
Europe,OWID_EUR,1940,6420000
Europe,OWID_EUR,1950,0
Europe,OWID_EUR,1960,0
Europe,OWID_EUR,1970,0
Europe,OWID_EUR,1980,0
Europe,OWID_EUR,1990,0
Europe,OWID_EUR,2000,0
Europe,OWID_EUR,2010,0
Europe,OWID_EUR,2020,0
North America,OWID_NAM,1870,0
North America,OWID_NAM,1880,0
North America,OWID_NAM,1890,155000
North America,OWID_NAM,1900,0
North America,OWID_NAM,1910,0
North America,OWID_NAM,1920,0
North America,OWID_NAM,1930,0
North America,OWID_NAM,1940,0
North America,OWID_NAM,1950,0
North America,OWID_NAM,1960,0
North America,OWID_NAM,1970,0
North America,OWID_NAM,1980,0
North America,OWID_NAM,1990,0
North America,OWID_NAM,2000,0
North America,OWID_NAM,2010,0
North America,OWID_NAM,2020,0
South America,OWID_SAM,1870,500000
South America,OWID_SAM,1880,0
South America,OWID_SAM,1890,0
South America,OWID_SAM,1900,0
South America,OWID_SAM,1910,0
South America,OWID_SAM,1920,0
South America,OWID_SAM,1930,0
South America,OWID_SAM,1940,0
South America,OWID_SAM,1950,0
South America,OWID_SAM,1960,0
South America,OWID_SAM,1970,0
South America,OWID_SAM,1980,0
South America,OWID_SAM,1990,0
South America,OWID_SAM,2000,0
South America,OWID_SAM,2010,0
South America,OWID_SAM,2020,0
World,OWID_WRL,1870,16600000
World,OWID_WRL,1880,1350000
World,OWID_WRL,1890,10247797
World,OWID_WRL,1900,3082202
World,OWID_WRL,1910,7766533
World,OWID_WRL,1920,13766666
World,OWID_WRL,1930,16130000
World,OWID_WRL,1940,24953333
World,OWID_WRL,1950,5840000
World,OWID_WRL,1960,29711500
World,OWID_WRL,1970,3760500
World,OWID_WRL,1980,1385454
World,OWID_WRL,1990,1057545
World,OWID_WRL,2000,532000
World,OWID_WRL,2010,1118333
World,OWID_WRL,2020,1052666
