entity,year,wpf_authoritative_mortality_estimate,region
Armenia 1919,1919,200000,Asia
Austria-Hungary 1915-1918,1915,465000,Europe
Bangladesh 1974,1974,1500000,Asia
Brazil 1876-1879,1876,500000,South America
Cambodia 1975-1979,1975,1210000,Asia
Central African Republic 2020-2023,2020,553000,Africa
China 1876-1879,1876,9500000,Asia
China 1897-1901,1897,1000000,Asia
China 1920-1921,1920,500000,Asia
China 1928-1930,1928,10000000,Asia
China 1934-1936,1934,5000000,Asia
China 1937-1945,1937,5000000,Asia
China 1958-1962,1958,36000000,Asia
China 1975,1975,230000,Asia
Congo Free State 1899-1905,1899,1300000,Africa
Cuba 1895-1898,1895,155000,North America
Democratic Republic of Congo 1998-2007,1998,290000,Africa
East Africa 1896-1900,1896,100000,Africa
East Timor 1975-1979,1975,103000,Asia
Eastern Europe 1945-1947,1945,250000,Europe
Ethiopia 1888-1892,1888,1500000,Africa
Ethiopia 1958,1958,100000,Africa
Ethiopia 1973,1973,200000,Africa
Ethiopia 1983-1985,1983,800000,Africa
Ethiopia 2021-2023,2021,336000,Africa
German East Africa 1914-1916,1914,300000,Africa
German occupied USSR  1941-1944,1941,4100000,Asia
Germany 1917-1919,1917,763000,Europe
"Germany, USSR 1941-1944",1941,3300000,Asia
Greater Syria 1915-1918,1915,500000,Asia
Greece 1941-1944,1941,300000,Europe
India 1876-1878,1876,6100000,Asia
India 1888-1889,1888,150000,Asia
India 1896-1897,1896,5500000,Asia
India 1899-1901,1899,1000000,Asia
"India, Bangladesh 1943",1943,3000000,Asia
Indonesia 1942-1945,1942,2400000,Asia
Japan 1941-1945,1941,1400000,Asia
Mozambique 1981-1985,1981,300000,Africa
Nigeria 1968-1970,1968,1300000,Africa
Nigeria 2016-2019,2016,340000,Africa
North Korea 1995-1997,1995,330000,Asia
Ottoman Empire 1894-1896,1894,100000,Asia
Ottoman Empire 1912-1923,1912,200000,Asia
Ottoman Empire 1915-1916,1915,400000,Asia
Persia 1870-1872,1870,500000,Asia
Persia 1917-1919,1917,455200,Asia
Philippines 1899-1902,1899,775000,Asia
Poland (ghettos and concentration camps) 1940-1945,1940,1000000,Europe
Poland 1940-1945,1940,500000,Europe
Russia 1891-1895,1891,1300000,Europe
Russia 1918-1920,1918,4000000,Europe
Russia 1941-1944,1941,1000000,Europe
Sahel 1913-1914,1913,800000,Africa
Sahel 1969-1974,1969,101000,Africa
"Serbia, Balkans 1914-1918",1914,1000000,Europe
Somalia 1991-1993,1991,240000,Africa
Somalia 2011-2012,2011,258000,Africa
"Somaliland, African Red Sea Region 1910-1919",1910,100000,Africa
South Sudan 1988-1998,1988,250000,Africa
South Sudan 2014-2018,2014,193000,Africa
Spain 1939-1942,1939,200000,Europe
Sudan 1888-1892,1888,1500000,Africa
Sudan 1984-1985,1984,240000,Africa
Sudan 1992-1994,1992,225000,Africa
Sudan 2003-2005,2003,200000,Africa
Syria 2012-2023,2012,268000,Asia
Tanzania 1905-1907,1905,300000,Africa
USSR (Kazakhstan) 1931-1933,1931,1500000,Asia
USSR (Southern Russia & Ukraine) 1921-1922,1921,5200000,Asia
USSR (Southern Russia) 1931-1933,1931,1500000,Asia
USSR 1939-1945,1939,560000,Europe
USSR 1940-1945,1940,540000,Europe
USSR 1941-1947,1941,1100000,Europe
USSR 1946-1947,1946,1100000,Europe
Uganda 2003-2006,2003,100000,Africa
Ukraine 1931-1933,1931,3000000,Europe
Vietnam 1944-1945,1944,1000000,Asia
Yemen 2016-2021,2016,223000,Asia
